Product,711_SLIN,Dollar Sales,Unit Sales,711_UPC,UPC 13,UPC 10,Custom US Category,Custom US Sub Category,Custom US National Brand or Private Label,Custom US Manufacturer,Custom US Trademark,Custom US Flavor Bucket,Custom US Flavor,Custom US Price Tier,Custom US Take Home or Single Serve
00028400324427-RUFFLES CHDRSRCR2.5Z,307871,927544,391749,28400324427,28400324421,2840032442,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,RUFFLES,CHEESE,CHEDDAR SOUR CREAM,NON-PERMISSIBLE,SINGLE SERVE
00028400325059-DORITOS NACHO 2.75Z,307890,917473,388430,28400325059,28400325051,2840032505,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CHEESE,NACHO CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400323826-LAYS ORIGINAL 2.625Z,307810,785273,337179,28400323826,28400401491,2840040149,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,REGULAR/CLASSIC/UNFLAVORED,CLASSIC,NON-PERMISSIBLE,SINGLE SERVE
00028400329491-CHEETOS FLMNHT3.25Z,308109,694506,289971,28400329491,28400329491,2840032949,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,SINGLE SERVE
00028400325042-DORITOS CLRNCH2.75Z,307888,680385,288562,28400325042,28400325041,2840032504,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,DAIRY,COOL RANCH,NON-PERMISSIBLE,SINGLE SERVE
00028400325073-DORITOS SWTCHL2.75Z,307896,583417,244865,28400325073,28400325071,2840032507,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,SPICY SWEET CHILI,NON-PERMISSIBLE,SINGLE SERVE
00028400331524-CHESTERS HTFRS3.625Z,308050,574637,238472,28400331524,28400331521,2840033152,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHESTERS,HOT/SPICY,FLAMIN' HOT,NON-PERMISSIBLE,SINGLE SERVE
00028400516464-DORITOS NCHCHS9.25Z,301640,560954,94945,28400516464,28400516461,2840051646,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,CHEESE,NACHO CHEESE,NON-PERMISSIBLE,TAKE HOME
00028400331555-FUNYUNS REG 2.125Z,307929,540664,226725,28400331555,28400331551,2840033155,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,FUNYUNS,ONION,ONION,NON-PERMISSIBLE,SINGLE SERVE
00028400331791-SMARTFOOD WHTCHDR2Z,307942,480922,200329,28400331791,28400303571,2840030357,SALTY SNACKS,RTE POPCORN,NATIONAL BRAND,FRITO LAY,SMARTFOOD,CHEESE,WHITE CHEDDAR CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400323857-LAYS SALT&VNGR2.625,307813,465695,198647,28400323857,28400323851,2840032385,SALTY SNACKS,POTATO CHIPS,NATIONAL BRAND,FRITO LAY,LAYS,SALT VARIATIONS,SALT AND VINEGAR,NON-PERMISSIBLE,SINGLE SERVE
00028400329125-CHEETOS JUMBOPFS3Z,308117,424299,177552,28400329125,28400329121,2840032912,SALTY SNACKS,CURLS AND PUFFS,NATIONAL BRAND,FRITO LAY,CHEETOS,CHEESE,CHEESE,NON-PERMISSIBLE,SINGLE SERVE
00028400327282-FRITO HNYBBQTWST3.5Z,308538,392586,165089,28400327282,28400327281,2840032728,SALTY SNACKS,CORN CHIPS,NATIONAL BRAND,FRITO LAY,FRITOS,BBQ,HONEY BARBEQUE,NON-PERMISSIBLE,SINGLE SERVE
00028400325172-DORITOS DNMTCHLLMN4Z,307905,390918,162435,28400325172,28400325171,2840032517,SALTY SNACKS,TORTILLA CHIPS,NATIONAL BRAND,FRITO LAY,DORITOS,HOT/SPICY,CHILE LIMON,NON-PERMISSIBLE,SINGLE SERVE
