Geography,Retailer Store Number,Banner Name,TDLinx,Speedway Store ID ,Street Address,City,State Code,County,ZIP Code,Latitude,Longitude,DXID
45580 23 NEW GARVER ROAD MONROE OH 45050,45580,Speedway ,903395,9383,23 NEW GARVER ROAD       ,MONROE,OH,BUTLER                ,45050,39.44119,-84.3415,999QRPV
45247 10291 MIAMISBURG SPRINGBO MIAMISBURG OH 45342,45247,Speedway ,7240477,1232,10291 MIAMISBURG SPRINGBO,MIAMISBURG,OH,MONTGOMERY            ,45342,39.5972,-84.2478,99CK3UY
45489 3730 SPEEDWAY DRIVE FINDLAY OH 45840,45489,Speedway ,1855859,8502,3730 SPEEDWAY DRIVE      ,FINDLAY,OH,HANCOCK               ,45840,41.08704,-83.65737,99AWJTT
45359 1500 REYNOLDS ROAD MAUMEE OH 43537,45359,Speedway ,670646,3683,1500 REYNOLDS ROAD       ,MAUMEE,OH,LUCAS                 ,43537,41.5858,-83.6645,999X0FR
45445 6501 MILLER LANE DAYTON OH 45414,45445,Speedway ,1872424,6219,6501 MILLER LANE         ,DAYTON,OH,MONTGOMERY            ,45414,39.84229,-84.19292,99AIIRA
45263 705 CORWIN NIXON BLVD SOUTH LEBANON OH 45065,45263,Speedway ,7413436,1829,705 CORWIN NIXON BLVD    ,SOUTH LEBANON,OH,WARREN                ,45065,39.3788,-84.224,99CS5HJ
45469 11584 ALLEN RD NW OCTA OH 43160,45469,Speedway ,7310231,7611,11584 ALLEN RD NW        ,OCTA,OH,FAYETTE               ,43160,39.61713,-83.60538,99CNL5N
45566 10270 COLERAIN AVENUE CINCINNATI OH 45251,45566,Speedway ,702368,9336,10270 COLERAIN AVENUE    ,CINCINNATI,OH,HAMILTON              ,45251,39.2619,-84.6032,99AJT86
45295 1488 AUSTIN ROAD CENTERVILLE OH 45458,45295,Speedway ,1638326,3401,1488 AUSTIN ROAD         ,CENTERVILLE,OH,MONTGOMERY            ,45458,39.59492,-84.20113,99APZ4K
45181 64279 WINTERGREEN RD LORE CITY OH 43755,45181,Speedway ,7265490,1017,64279 WINTERGREEN RD     ,LORE CITY,OH,GUERNSEY              ,43755,40.0311,-81.44917,99CKSNJ
45492 90 N XENIA DR ENON OH 45323,45492,Speedway ,974868,8574,90 N XENIA DR            ,ENON,OH,CLARK                 ,45323,39.879,-83.9365,999QP6Z
45405 213 NORTH URBANA STREET SOUTH VIENNA OH 45369,45405,Speedway ,445921,5215,213 NORTH URBANA STREET  ,SOUTH VIENNA,OH,CLARK                 ,45369,39.93045,-83.61277,999HYY9
45471 2381 US HIGHWAY 23 N DELAWARE OH 43015,45471,Speedway ,7507268,7775,2381 US HIGHWAY 23 N     ,DELAWARE,OH,DELAWARE              ,43015,40.33291,-83.07459,99CXXH5
45547 2567 WALCUTT ROAD COLUMBUS OH 43026,45547,Speedway ,702361,9265,2567 WALCUTT ROAD        ,COLUMBUS,OH,FRANKLIN              ,43026,40.00363,-83.13919,999QR9Y
